artist,genres,followers,popularity
Marcus King,"['modern blues', 'modern blues rock']",263658,57
Luísa Sonza,"['funk carioca', 'pop nacional']",6077243,77
Teddy Swims,[],3138526,86
DJ Nelson,"['reggaeton', 'urbano latino']",1158704,73
Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",63038925,92
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",86136688,95
Duncan Dhu,"['cantautor', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",808189,63
Plan B,"['reggaeton', 'trap latino', 'urbano latino']",5025605,81
nimino,['melodic house'],84945,66
IAMX,"['indietronica', 'industrial pop']",201379,51
Fran C,['reggaeton chileno'],106704,64
RAYE,"['uk contemporary r&b', 'uk pop']",1678237,78
L.V.,[],39705,70
Chayanne,"['latin pop', 'puerto rican pop']",8248195,76
Lynda Carter,[],9094,39
Diddy,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",1770106,74
JHAYCO,"['reggaeton', 'trap latino', 'urbano latino']",8099506,84
Grandmaster Melle Mel,"['bronx hip hop', 'east coast hip hop', 'old school hip hop']",71611,51
Eminem,"['detroit hip hop', 'hip hop', 'rap']",91259972,93
Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",5732190,77
Tyla,[],1956844,76
Lil' Kim,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",1769890,65
SNAYX,[],8471,32
