artist,name,date,time,venue,location,price_range,source_date,city,country,min_price_EUR,max_price_EUR
Pink,P!NK Live 2024,12-11-2024,19:30:00,Lenovo Center,"Raleigh, United States Of America",59.95-299.95 USD,20241011,Raleigh,United States Of America,56.95,284.95
Pink,P!NK: Summer Carnival 2024,18-11-2024,18:30:00,Camping World Stadium,"Orlando, United States Of America",29.95-299.95 USD,20241011,Orlando,United States Of America,28.45,284.95
Pink,P!NK Live 2024,24-10-2024,19:30:00,Wells Fargo Arena - Des Moines,"Des Moines, United States Of America",,20241011,Des Moines,United States Of America,,
Pink,P!NK Live 2024,24-10-2024,19:30:00,Wells Fargo Arena,"Des Moines, United States Of America",,20241011,Des Moines,United States Of America,,
Pink,P!NK: Summer Carnival 2024,23-11-2024,18:30:00,loanDepot park,"Miami, United States Of America",49.95-299.95 USD,20241011,Miami,United States Of America,47.45,284.95
Max McNown,Max McNown,16-01-2025,20:00:00,August Hall,"San Francisco, United States Of America",,20241011,San Francisco,United States Of America,,
Max McNown,Max McNown,16-02-2025,18:30:00,The Atlantis,"Washington, United States Of America",20.0-20.0 USD,20241011,Washington,United States Of America,19.0,19.0
Max McNown,Max McNown,23-02-2025,20:00:00,Exit/In,"Nashville, United States Of America",27.37-27.37 USD,20241011,Nashville,United States Of America,26.0,26.0
Max McNown,*SOLD OUT* Max McNown,22-02-2025,20:00:00,Exit/In,"Nashville, United States Of America",0.0-0.0 USD,20241011,Nashville,United States Of America,0.0,0.0
Max McNown,Max McNown (18+ w/ ID),14-01-2025,19:00:00,Voodoo Room at the House of Blues San Diego,"San Diego, United States Of America",20.0-20.0 USD,20241011,San Diego,United States Of America,19.0,19.0
Max McNown,Corey Kent - The Black Bandana Tour (18+),19-10-2024,19:00:00,Paradise Rock Club presented by Citizens,"Boston, United States Of America",22.0-30.0 USD,20241011,Boston,United States Of America,20.9,28.5
Max McNown,Corey Kent - The Black Bandana Tour,21-11-2024,20:00:00,Buckhead Theatre,"Atlanta, United States Of America",20.0-30.0 USD,20241011,Atlanta,United States Of America,19.0,28.5
Max McNown,Corey Kent - The Black Bandana Tour,23-11-2024,18:30:00,House of Blues Myrtle Beach,"North Myrtle Beach, United States Of America",20.0-30.0 USD,20241011,North Myrtle Beach,United States Of America,19.0,28.5
Max McNown,Sam Barber - Restless Mind Tour,13-11-2024,20:00:00,Mercury Ballroom,"Louisville, United States Of America",25.0-40.0 USD,20241011,Louisville,United States Of America,23.75,38.0
Max McNown,Corey Kent: The Black Bandana Tour,16-10-2024,18:30:00,Gramercy Theatre,"New York, United States Of America",25.0-40.0 USD,20241011,New York,United States Of America,23.75,38.0
Max McNown,Max McNown,30-01-2025,18:30:00,Barboza,"Seattle, United States Of America",,20241011,Seattle,United States Of America,,
Max McNown,Max McNown,31-01-2025,18:30:00,Barboza,"Seattle, United States Of America",,20241011,Seattle,United States Of America,,
Christina Aguilera,Christina Aguilera,30-12-2023,21:45:00,Voltaire at The Venetian Resor,"Las Vegas, United States Of America",,20241011,Las Vegas,United States Of America,,
Christina Aguilera,Saadiyat Nights - Christina Aguilera,15-02-2025,17:00:00,Saadiyat Island,"Abu Dhabi, United Arab Emirates",295.0-3100.0 AED,20241011,Abu Dhabi,United Arab Emirates,76.7,806.0
Christina Aguilera,Christina Aguilera Add-on,30-12-2023,21:45:00,Voltaire at The Venetian Resor,"Las Vegas, United States Of America",,20241011,Las Vegas,United States Of America,,
Angelina Mango,Angelina Mango,03-11-2024,19:00:00,O2 Academy Islington,"London, Great Britain",32.6-32.6 GBP,20241011,London,Great Britain,37.82,37.82
Angelina Mango,Angelina Mango - European Club Tour,30-10-2024,20:00:00,,"Munich, Germany",30.0-30.0 EUR,20241011,Munich,Germany,30.0,30.0
